Reference,SpeechId,Direction,SttLatency,length,beginOfSpeech,endOfSpeech,SttResult,TranslationLatency,length,TranslatedResult,useless,translation comment
1707728465893
,1707728470621,1,869ms,5,1707728470622,1707728472684,Hello,492ms,7,Bonjour
,1707728701132,0,611ms,450,1707728701134,1707728740307,Je sais pas ah OK principalement il y a des des des des langages qui sont propres à des des salutations le matin toujours avec des des cultures comme la bise en quoi qui s'est fait si principalement c'est les lanarges de chaque jour comme que sur la la ? La salutation ou que ce soit des des retrouvailles et pas c'est pas vraiment ? Très spécifique la rage est commun mais ce sont plus des langages ou des habitudes répétitives ils sont constatés.,1707728740918ms,360,I don't know ah OK mainly there are some of the languages that are specific to morning greetings always with cultures like the kiss in what was done so mainly it is the lanarges of each day as on the la? The greeting or whether it's a reunion and not it's not really? Very specific rabies is common but it's more languages or repetitive habits they're found.
,1707728763170,1,507ms,55,1707728763172,1707728768991,Is it common to greet people with a chic to chick kiss?,140ms,68,Est-il courant de saluer les gens avec un baiser de chic à poussin ?
,1707728777290,0,1358ms,314,1707728777292,1707728799229,Il est courant en fait de salut des gens en France. Avec la bise en fait c'est-à-dire fait bisous du coup à l'âge vous ça c'est principalement des personnes que vous connaissiez des fois ça va être tordu là-dedans tout salut est la personne ou plus communément ? C'est la bise qui utilisait un bisou à l'agence ?,1707728800587ms,281,It's actually common for people to salvation in France. With the kiss actually that is to say kisses at age you that's mostly people you knew sometimes it's going to be twisted in there all salvation is the person or more commonly? Was it the kiss that used a kiss at the agency?
,1707728824709,1,518ms,94,1707728824712,1707728834990,I have one doubt. Let me ask you. What is the difference between phillate and fairly fatigued?,1707728835508ms,100,J'ai un doute. Laissez-moi vous demander. Quelle est la différence entre un phillate et un lassage ?
,1707728833228,0,355ms,5,1707728833231,1707728837259,Vas-y,56ms,2,Go
,1707728840986,1,464ms,36,1707728840989,1707728847280,Fair law tatte and fire LA fate day.,111ms,58,Le droit équitable vous goûte et le feu le jour du destin.
,1707728843854,0,438ms,43,1707728843858,1707728847149,Pardon vous pouvez répéter votre question. ,90ms,35,Sorry you can repeat your question.
,1707728856562,1,442ms,32,1707728856562,1707728863424,Fair law t**** and fair LA fate.,99ms,37,Droit équitable et droit à l'égalité.
,1707728858704,0,439ms,64,1707728858704,1707728866544,Est-ce que vous pouvez répéter votre question s'il vous plaît ? ,107ms,36,Can you repeat your question please?
,1707728870825,1,488ms,39,1707728870826,1707728876744,Okay what you say to a person to sulk.,130ms,53,D'accord ce que vous dites à une personne de bouder.
,1707728887421,0,464ms,69,1707728887422,1707728892564,Je n'ai toujours pas compris votre question pouvez-vous la répéter. ,121ms,59,I still haven't understood your question can you repeat it.
,1707728900792,1,447ms,40,1707728900794,1707728906464,Okay what you say to a person to party.,121ms,62,D'accord ce que vous dites à une personne pour faire la fête.
,1707728915924,0,800ms,176,1707728915925,1707728938069,Ah d'accord ce qu'on dit généralement. C'est on va fêter ou on va faire une partie ou encore c'est la fête pour s'amuser on a plusieurs en fait plusieurs thèmes généralistes. ,1707728938869ms,165,Ah okay what we usually say. It's we're going to celebrate or we're going to do a game or it's a party to have fun we have several in fact several general themes.
,1707728953427,1,380ms,4,1707728953429,1707728955430,Okay,38ms,3,Bon
,1707728959390,1,414ms,106,1707728959392,1707728968630,What is the scene with the night clubs? Till what time in the night the clubs are open? The pubs are open.,1707728969044ms,122,Quelle est la scène avec les boîtes de nuit ? Jusqu'à quelle heure du soir les clubs sont ouverts ? Les pubs sont ouverts.
,1707728977453,0,561ms,293,1707728977456,1707729001623,En croire les clubs sont ouverts jusqu'à 4h du matin il y a d'autres trucs qui fait un peu plutôt des fois à 3h mais les clubs les boîtes de nuit c'est généralement vers 4h ça je crois c'est aussi une réclame une réglementation pour ne pas avoir et ? Pour lui ou des des problèmes sur le plan.,1707729002184ms,252,According to the clubs are open until 4am there are other things that do a little rather sometimes at 3am but the clubs the nightclubs it's usually around 4am that I think it's also a claim a regulation not to have and? For him or problems on the plan.
,1707729019268,1,502ms,84,1707729019271,1707729026466,Okay let's talk something about the history or the cultural aspect of your country.,162ms,81,Bon nous allons vous parler de l'histoire ou de l'aspect culturel de votre pays.
,1707729032105,1,436ms,51,1707729032107,1707729036783,What is the speciality about the Gothic cathedrals?,110ms,52,Quelle est la spécialité des cathédrales gothiques ?
,1707729038170,1,324ms,6,1707729038171,1707729039904,Galaxy,36ms,6,Galaxy
,1707729040503,1,516ms,50,1707729040504,1707729046742,I've heard they're very tall or have a big height.,148ms,75,J'ai entendu dire qu'ils sont très grands ou qu'ils ont une grande hauteur.
,1707729047189,0,354ms,13,1707729047190,1707729050688,La spécialité,51ms,13,The Specialty
,1707729055169,0,508ms,98,1707729055171,1707729061786,La spécialité de est-ce que vous pouvez répéter ? J'ai pas de bien compris la spécialité de quoi. ,1707729062294ms,88,The specialty of is what you can repeat? I don't quite understand the specialty of what.
,1707729070032,1,429ms,48,1707729070033,1707729074706,The Gothic cathedrals. What are they famous for?,1707729075135ms,55,Les cathédrales gothiques. Pourquoi sont-ils célèbres ?
,1707729081931,0,689ms,264,1707729081933,1707729106765,Ah d'accord avec les gothiques oui en France j'ai c'est c'est très célèbre. En fait la cathédrale parce que ça remonte à à très longtemps en fait si je je me rappelle bien suite à l'histoire de d'un très grand architecte en fait qui avait développé c'est Séville ?,1707729107454ms,247,Ah agree with the gothic yes in France I have it is it is very famous. Actually the cathedral because it goes back a very long time actually if I remember well following the story of a very great architect actually who had developed it is Seville?
,1707729124147,1,527ms,183,1707729124148,1707729141823,I have heard a rumour that many catholes in France or the European countries have this kind of a underpass below. All the taxi drugs they are like connect each other below the ground.,1707729142350ms,233,J'ai entendu une rumeur selon laquelle de nombreux catholes en France ou dans les pays européens ont ce genre de passage souterrain en dessous. Tous les médicaments de taxi ils sont comme se connecter les uns les autres sous le sol.
,1707729151105,0,575ms,379,1707729151108,1707729178587,Principalement cette information moi je ne l'ai pas je peux pas vous le confirmer si c'est vrai ou pas pour des passages souterrains on a juste des des métros qui passent en dessous de la ville et que les gens utilisent pour le transport mais je ne souhaite pas vous dire qu'il ? Y a des passages ou des médicaments qui se je n'ai pas cette connaissance ou cette information ?,1707729179162ms,329,Mainly this information I don't have it I can't confirm it to you if it's true or not for underground passages we just have subways that pass under the city and that people use for transportation but I don't want to tell you that it? Are there passages or medicines that happen I don't have this knowledge or this information?
,1707729201809,1,501ms,64,1707729201811,1707729206987,No no. The question got messed up because of wrong translation.,1707729207488ms,69,Non non. La question a été foirée à cause d'une mauvaise traduction.
,1707729202067,0,431ms,37,1707729202077,1707729204307,Je suis en train d'écouter Mathieu. ,110ms,23,I'm listening Mathieu.
,1707729216644,0,516ms,117,1707729216646,1707729225749,Est-ce que vous pouvez donc répéter la question si vous dites que a été foirée à cause du mauvais quand traduction ? ,176ms,100,So can you repeat the question if you say that was screwed up because of the wrong when translation?
,1707729235310,1,724ms,282,1707729235311,1707729258462,So what do you call the place under the house like like you see in the horror movies when you open the door basement? I think it's called basement so my question was is it true like most of the cathedrals have basement with many rooms in it which are interconnected to each other?,1707729259186ms,320,Alors comment appelez-vous l'endroit sous la maison comme vous le voyez dans les films d'horreur quand vous ouvrez le sous-sol de la porte ? Je pense que ça s'appelle le sous-sol donc ma question était est-ce vrai comme la plupart des cathédrales ont un sous-sol avec beaucoup de pièces qui sont reliées entre elles ?
,1707729258368,0,459ms,53,1707729258370,1707729262436,Ça s'appelle tout simplement des sous-sols en fait. ,125ms,37,It's just called basements actually.
,1707729270328,0,588ms,467,1707729270330,1707729300824,Ah d'accord d'accord donc il s'appelle des sous-sols mais euh un cours de cathydrogue qui aurait des sous-sols de je je pense pas je pense que c'est faux je je n'ai pas c'est ? Je peux pas vous confirmer cette information je n'ai jamais vu si j'en connais pas des carpières qui ont des socioles et qui sont rééligibles entre elles c'est c'est un peu pété après du du que des des des théories des petites compensables mais je pense pas que ce ? Soit vraiment aussi.,1707729301412ms,396,Ah okay okay so it's called basements but uh a cathydrogue course that would have basements of I don't think I think it's wrong I don't have it? I can't confirm this information I've never seen if I don't know any of the careers that have socioles and are reeligible between them it's a little bit after du du que of the theories of the small compensable but I don't think that? Or really too.
,1707729328588,1,448ms,83,1707729328591,1707729338505,Okay uh oh. What about the Louvre Museum in Paris? What is the most famous thing?,1707729338953ms,93,Bon euh oh. Qu'en est-il du musée du Louvre à Paris ? Quelle est la chose la plus célèbre ?
,1707729346328,0,536ms,308,1707729346331,1707729369824,Alors à Paris je vous appuie c'est aussi c'est évidemment la la Tour Eiffel je pense que c'est c'est peut-être la structure la plus emblématique d'un point de vue historique aussi est d'un point de vue de taille et de construction de de de de de ? La France oui pour moi j'ai c'est vraiment la Tour Eiffel.,1707729370360ms,274,So in Paris I support you it is also it is obviously the Eiffel Tower I think it is it is perhaps the most emblematic structure from a historical point of view also is from a point of view of size and construction of? France yes for me I have it's really the Eiffel Tower.
,1707729388031,1,442ms,34,1707729388034,1707729391748,Have you ever used the pay's pass?,108ms,53,Avez-vous déjà utilisé le laissez-passer du salaire ?
,1707729391983,1,403ms,17,1707729391985,1707729395504,7 need to use it.,78ms,23,7 besoin de l'utiliser.
,1707729399945,1,360ms,10,1707729399961,1707729403556,Paris pass,44ms,10,Paris Pass
,1707729401868,0,414ms,35,1707729401870,1707729407160,Non je je je n'ai jamais utilisé. ,87ms,21,No II've never used.
,1707729407405,0,424ms,42,1707729407422,1707729410671,C'est personnellement jamais utilisement. ,90ms,27,It's personally never used.
,1707729417431,1,514ms,52,1707729417433,1707729424026,What is it used for why people use this parish past?,142ms,88,Pourquoi est-il utilisé pour expliquer pourquoi les gens utilisent ce passé paroissial ?
,1707729432583,1,331ms,10,1707729432584,1707729435024,Paris pass,20ms,10,Paris Pass
,1707729435162,0,761ms,201,1707729435164,1707729451433,Je n'ai pardon je n'ai pas d'informations. Vraiment de ce sujet en fait je n'ai pas de réponse à vous apporter ce sujet parce que j'ai pas le je je suis pas réussi par renseigner en fait le sujet ? ,1707729452194ms,203,I don't have sorry I don't have any information. Really of this subject actually I have no answer to bring you this subject because I have not the I am not succeeded by actually informing the subject?
,1707729467951,1,398ms,117,1707729467984,1707729480642,Okay okay. No problem. No problem. Actually I have read somewhere like if you buy the Paris past. My name is Sunil.,1707729481040ms,141,Bon d'accord. Aucun problème. Aucun problème. En fait j'ai lu quelque part comme si vous achetiez le passé de Paris. Je vous appelle Sunil.
,1707729471148,0,357ms,9,1707729471157,1707729473789,Votre nom,57ms,9,Your Name
,1707729480103,0,358ms,9,1707729480107,1707729482589,Au départ,58ms,9,Initially
,1707729484045,0,471ms,26,1707729484046,1707729487389,Du coup c'est incroyable. ,72ms,19,So it's incredible.
,1707729491662,1,620ms,123,1707729491663,1707729502206,I was saying something about the Paris past like if you buy it you can get the access to 50 of Paris cultural attractions.,233ms,137,Je disais quelque chose sur le passé de Paris comme si vous l'achetez vous pouvez avoir accès à 50 des attractions culturelles de Paris.
,1707729492586,0,465ms,61,1707729492599,1707729496912,Pouvez-vous répéter la question. J'ai pas très bien compris. ,1707729497377ms,55,Can you repeat the question. I didn't get it very well.
,1707729517342,1,448ms,31,1707729517343,1707729521159,Okay I have one last question.,99ms,32,Bon j'ai une dernière question.
,1707729518423,0,614ms,124,1707729518427,1707729524909,Oh je viens j'ai pas toujours entendu ma question je ne comprends pas est-ce que vous pouvez pas répéter s'il vous plaît ? ,215ms,97,Oh I come I haven't always heard my question I don't understand is what you can't repeat please?
,1707729534031,1,456ms,33,1707729534032,1707729537425,Okay I'll ask one more question.,99ms,43,Bon je vais vous poser une autre question.
,1707729538427,1,428ms,21,1707729538429,1707729540747,This is the last one.,73ms,17,C'est le dernier.
,1707729544389,1,486ms,49,1707729544390,1707729552025,What is the importance of a scarf French-fashion?,126ms,53,Quelle est l'importance d'un foulard à la française ?
,1707729558067,1,454ms,44,1707729558070,1707729563066,The importance of a scarf in French-fashion.,119ms,46,L'importance d'un foulard à la mode française.
,1707729567585,0,707ms,212,1707729567590,1707729588295,Foulards pas trop pas trop d'importance en fait. Et c'est utilisé en fait des fois comme mon écharpe c'est des fois comme on Bomb. Spandau je sais pas mais c'est passé une signification particulière en France. ,1707729589002ms,177,Sparrows not too important actually. And it's actually used sometimes as my scarf it's sometimes like on Bomb. Spandau I don't know but there was a special meaning in France.
,1707729605910,1,474ms,41,1707729605913,1707729611424,Okay do you normally use a scarf yourself,113ms,58,D'accord vous utilisez normalement un foulard vous-même ?
,1707729617925,0,427ms,46,1707729617927,1707729621586,Moi personnellement j'utilise pas de fou là. ,95ms,42,I personally don't use crazy people there.
,1707729627585,1,379ms,9,1707729627587,1707729630066,Okay okay,10ms,14,Bon d'accord.
,1707729631270,1,420ms,76,1707729631272,1707729638187,Thank you. I think that is all for today. It was really nice talking to you.,1707729638607ms,105,Nous vous remercions. Je pense que c'est tout pour aujourd'hui. C'était vraiment agréable de vous parler.
,1707729644270,1,404ms,7,1707729644272,1707729646437,Bye bye,54ms,9,Au revoir
,1707729645025,0,472ms,67,1707729645055,1707729651554,Un cerveau c'était aussi très agir de vous plus parler au revoir. ,121ms,54,A brain was also very acting to you more talk goodbye.
